Symbol,Sector,Industry,Change,Mcap
KMB,Consumer Non-Durables,Household/Personal Care,-6.0,43.7
KIM,Finance,Real Estate Investment Trusts,5.0,9.41
KMI,Industrial Services,Oil & Gas Pipelines,15.0,42.66
KGC,Non-Energy Minerals,Precious Metals,-15.0,9.86
KKR,Finance,Investment Managers,17.0,32.16
KNX,Transportation,Trucking,3.0,7.68
KSS,Retail Trade,Department Stores,1.0,8.29
KHC,Consumer Non-Durables,Food: Major Diversified,18.0,52.37
KTOS,Electronic Technology,Aerospace & Defense,-14.0,3.25
KR,Retail Trade,Food Retail,18.0,29.07
KT,Communications,Major Telecommunications,-16.0,7.01
LB,Retail Trade,Apparel/Footwear Retail,-17.0,18.19
LRCX,Electronic Technology,Electronic Production Equipment,17.0,92.73
LVS,Consumer Services,Casinos/Gaming,7.0,41.37
LSCC,Electronic Technology,Semiconductors,-8.0,7.26
LDOS,Technology Services,Information Technology Services,11.0,15.08
LMND,Finance,Property/Casualty Insurance,-12.0,6.37
LEN,Consumer Durables,Homebuilding,2.0,28.15
LESL,Retail Trade,Specialty Stores,11.0,NA
LEVI,Consumer Non-Durables,Apparel/Footwear,2.0,10.71
LXRX,Health Technology,Biotechnology,15.0,0.69
LX,Finance,Finance/Rental/Leasing,3.0,NA
LPL,Electronic Technology,Electronic Production Equipment,-9.0,7.36
LI,Producer Manufacturing,Auto Parts: OEM,-14.0,25.54
FWONK,Consumer Services,Movies/Entertainment,-18.0,NA
LYV,Consumer Services,Movies/Entertainment,0.0,18.89
LTHM,Process Industries,Chemicals: Specialty,1.0,2.69
LKQ,Consumer Durables,Automotive Aftermarket,14.0,14.71
LMT,Electronic Technology,Aerospace & Defense,16.0,108.14
LOGI,Electronic Technology,Computer Peripherals,7.0,21.88
LOMA,Non-Energy Minerals,Construction Materials,17.0,NA
LOW,Retail Trade,Home Improvement Chains,-1.0,134.06
LTC,Finance,Real Estate Investment Trusts,-11.0,1.55
LKNCY,Consumer Non-Durables,Food: Specialty/Candy,-1.0,NA
LULU,Retail Trade,Apparel/Footwear Retail,-14.0,45.69
LUMN,Communications,Specialty Telecommunications,10.0,16.41
LYFT,Technology Services,Packaged Software,6.0,19.23
M,Retail Trade,Department Stores,7.0,5.86
MSGS,Consumer Services,Movies/Entertainment,-2.0,4.23
MRO,Energy Minerals,Oil & Gas Production,-1.0,10.57
MPC,Energy Minerals,Oil Refining/Marketing,13.0,41.11
MKL,Finance,Specialty Insurance,-13.0,16.56
MAR,Consumer Services,Hotels/Resorts/Cruise lines,-18.0,46.85
MMC,Finance,Insurance Brokers/Services,16.0,71.0
MRVL,Electronic Technology,Semiconductors,2.0,NA
MAS,Producer Manufacturing,Building Products,-14.0,14.93
MA,Finance,Finance/Rental/Leasing,-14.0,363.23
MTDR,Energy Minerals,Oil & Gas Production,-1.0,NA
MTCH,Technology Services,Internet Software/Services,4.0,38.88
MAT,Consumer Durables,Recreational Products,-7.0,7.09
MAXN,Utilities,Alternative Power Generation,11.0,NA
MXIM,Electronic Technology,Semiconductors,-8.0,27.94
MCFE,Technology Services,Packaged Software,-17.0,12.23
MCD,Consumer Services,Restaurants,-12.0,176.82
MUX,Non-Energy Minerals,Precious Metals,-20.0,NA
MPW,Finance,Real Estate Investment Trusts,0.0,12.92
MDT,Health Technology,Medical Specialties,0.0,NA
MLCO,Consumer Services,Casinos/Gaming,20.0,8.02
MELI,Technology Services,Internet Software/Services,-9.0,NA
MRK,Health Technology,Pharmaceuticals: Major,9.0,191.04
MET,Finance,Life/Health Insurance,-9.0,55.42
MTD,Health Technology,Medical Specialties,18.0,31.45
MFA,Finance,Real Estate Investment Trusts,-3.0,2.03
MTG,FInance,Specialty Insurance,-20.0,4.88
MGM,Consumer Services,Casinos/Gaming,-20.0,20.71
MCHP,Electronic Technology,Semiconductors,19.0,42.6
MU,Electronic Technology,Semiconductors,-15.0,90.26
MSFT,Technology Services,Packaged Software,-20.0,1957.0
MFG,Finance,Major Banks,9.0,36.95
MBT,Communications,Wireless Telecommunications,-1.0,NA
MRNA,Health Technology,Biotechnology,-13.0,83.28
MOMO,Technology Services,Information Technology Services,12.0,NA
MDLZ,Consumer Non-Durables,Food: Major Diversified,0.0,89.6
MGI,Commercial Services,Miscellaneous Commercial Services,-9.0,0.76
MDB,Technology Services,Packaged Software,1.0,21.54
MNST,Consumer Non-Durables,Beverages: Non-Alcoholic,10.0,49.36
MCO,Commercial Services,Financial Publishing/Services,18.0,65.1
MS,Finance,Investment Banks/Brokers,-16.0,168.79
MORN,Finance,Investment Managers,-9.0,10.23
MOS,Process Industries,Chemicals: Agricultural,-11.0,12.58
MSI,Electronic Technology,Aerospace & Defense,18.0,35.86
MPLX,Industrial Services,Oil & Gas Pipelines,-11.0,32.04
MUFG,Finance,Major Banks,-5.0,70.71
MUR,Energy Minerals,Oil & Gas Production,15.0,3.65
NDAQ,Finance,Investment Banks/Brokers,11.0,28.74
NOV,Industrial Services,Oilfield Services/Equipment,-4.0,6.56
NTCO,Consumer Non-Durables,Household/Personal Care,-7.0,16.01
NAVI,Finance,Finance/Rental/Leasing,12.0,3.43
NKTR,Health Technology,Pharmaceuticals: Major,-2.0,3.22
NPTN,Electronic Technology,Electronic Components,-12.0,NA
NTAP,Electronic Technology,Computer Peripherals,11.0,18.47
NTES,Technology Services,Internet Software/Services,-17.0,76.53
NFLX,Consumer Services,Cable/Satellite TV,-17.0,221.65
NBIX,Health Technology,Biotechnology,6.0,9.41
NBEV,Consumer Non-Durables,Beverages: Alcoholic,-16.0,0.33
EDU,Consumer Services,Other Consumer Services,14.0,17.24
NRZ,Finance,Real Estate Investment Trusts,-12.0,NA
NYCB,Finance,Savings Banks,-3.0,5.39
NYMT,Finance,Real Estate Investment Trusts,-16.0,1.78
NYT,Consumer Services,Publishing: Newspapers,-9.0,6.8
NWL,Producer Manufacturing,Industrial Conglomerates,-10.0,11.62
NEM,Non-Energy Minerals,Precious Metals,13.0,55.94
NWSA,Consumer Services,Publishing: Newspapers,-19.0,NA
NEE,Utilities,Electric Utilities,11.0,143.79
NICE,Technology Services,Information Technology Services,-15.0,14.28
NKE,Consumer Non-Durables,Apparel/Footwear,-1.0,207.54
NKLA,Consumer Durables,Motor Vehicles,-12.0,6.77
NIO,Consumer Durables,Motor Vehicles,-18.0,76.27
NOAH,Finance,Investment Banks/Brokers,6.0,NA
NMR,Finance,Investment Banks/Brokers,20.0,16.49
JWN,Retail Trade,Apparel/Footwear Retail,7.0,5.44
NSC,Transportation,Railroads,-18.0,67.94
NTRS,Finance,Regional Banks,-3.0,24.24
NOC,Electronic Technology,Aerospace & Defense,-20.0,59.91
NLOK,Technology Services,Packaged Software,19.0,16.49
NCLH,Consumer Services,Hotels/Resorts/Cruise lines,-4.0,11.46
NVS,Health Technology,Pharmaceuticals: Major,7.0,211.09
NVAX,Health Technology,Biotechnology,-20.0,15.39
NVCR,Health Technology,Medical Specialties,20.0,NA
NRG,Utilities,Electric Utilities,-10.0,9.07
NUE,Non-Energy Minerals,Steel,-10.0,30.73
NTNX,Technology Services,Packaged Software,-19.0,7.93
NUVA,Health Technology,Medical Specialties,-1.0,3.37
NVDA,Electronic Technology,Semiconductors,14.0,449.02
NVR,Consumer Durables,Homebuilding,20.0,16.99
ORLY,Retail Trade,Specialty Stores,-6.0,37.14
OXY,Energy Minerals,Oil & Gas Production,-2.0,26.39
ODP,Retail Trade,Specialty Stores,-10.0,2.64
OKTA,Technology Services,Packaged Software,17.0,34.86
OLN,Process Industries,Industrial Specialties,14.0,7.64
OMC,Commercial Services,Advertising/Marketing Services,-4.0,17.75
ON,Electronic Technology,Semiconductors,13.0,16.36
OKE,Industrial Services,Oil & Gas Pipelines,-2.0,24.7
OPK,Health Technology,Pharmaceuticals: Major,-11.0,2.5
ORCL,Technology Services,Packaged Software,-19.0,238.23
ORA,Utilities,Alternative Power Generation,13.0,3.91
OSCR,Health Services,Hospital/Nursing Management,14.0,NA
OTIS,Producer Manufacturing,Building Products,-11.0,34.67
OSTK,Retail Trade,Internet Retail,-2.0,3.84
OZON,Retail Trade,Internet Retail,18.0,NA
PG,Consumer Non-Durables,Household/Personal Care,3.0,330.29
PCAR,Producer Manufacturing,Trucks/Construction/Farm Machinery,12.0,31.61
PD,Technology Services,Packaged Software,12.0,3.42
PLTR,Technology Services,Packaged Software,-12.0,46.91
PANW,Electronic Technology,Computer Communications,-7.0,35.79
PAM,Utilities,Electric Utilities,13.0,NA
PAAS,Non-Energy Minerals,Precious Metals,20.0,6.64
PH,Producer Manufacturing,Industrial Machinery,-6.0,38.31
PTEN,Industrial Services,Contract Drilling,-18.0,1.93
PAYX,Technology Services,Data Processing Services,-12.0,37.65
PYPL,Technology Services,Data Processing Services,-4.0,322.96
PBF,Energy Minerals,Oil Refining/Marketing,-15.0,2.04
PDCE,Energy Minerals,Oil & Gas Production,17.0,4.71
PTON,Consumer Services,Other Consumer Services,5.0,33.43
PENN,Consumer Services,Casinos/Gaming,20.0,12.61
PBCT,Finance,Major Banks,9.0,NA
PEP,Consumer Non-Durables,Beverages: Non-Alcoholic,-18.0,205.26
PSTH,Finance,Financial Conglomerates,-20.0,4.52
PBR,Energy Minerals,Integrated Oil,14.0,75.26
PFE,Health Technology,Pharmaceuticals: Major,14.0,221.83
PCG,Utilities,Electric Utilities,10.0,23.95
PM,Consumer Non-Durables,Tobacco,10.0,156.63
PSX,Energy Minerals,Oil Refining/Marketing,-13.0,40.03
PDD,Retail Trade,Internet Retail,-18.0,152.41
PINS,Technology Services,Internet Software/Services,19.0,43.73
PXD,Energy Minerals,Oil & Gas Production,7.0,39.55
PBI,Producer Manufacturing,Office Equipment/Supplies,5.0,NA
PAA,Industrial Services,Oil & Gas Pipelines,-8.0,8.86
PLNT,Consumer Services,Other Consumer Services,1.0,6.56
PLUG,Electronic Technology,Electronic Components,0.0,17.37
PNC,Finance,Major Banks,19.0,79.49
PPG,Process Industries,Industrial Specialties,10.0,41.58
PPL,Utilities,Electric Utilities,16.0,22.51
PBH,Health Technology,Pharmaceuticals: Other,-20.0,2.59
PRI,Finance,Life/Health Insurance,-7.0,6.22
PGR,Finance,Property/Casualty Insurance,6.0,54.48
PLD,Finance,Real Estate Investment Trusts,2.0,93.32
PFPT,Technology Services,Data Processing Services,15.0,9.97
PRU,Finance,Financial Conglomerates,-4.0,41.14
PEG,Utilities,Electric Utilities,-3.0,31.25
PSA,Finance,Real Estate Investment Trusts,-8.0,51.55
PHM,Consumer Durables,Homebuilding,18.0,14.07
PSTG,Electronic Technology,Computer Peripherals,-18.0,5.53
QTWO,Technology Services,Information Technology Services,9.0,5.74
QCOM,Electronic Technology,Telecommunications Equipment,-12.0,154.88
QLYS,Technology Services,Packaged Software,-16.0,3.95
PWR,Industrial Services,Engineering & Construction,-6.0,12.77
QD,Technology Services,Internet Software/Services,-6.0,NA
QRTEA,Retail Trade,Internet Retail,-3.0,5.58
RXT,Technology Services,Data Processing Services,-4.0,NA
RL,Retail Trade,Apparel/Footwear Retail,20.0,8.8
RRC,Energy Minerals,Oil & Gas Production,8.0,3.84
RTX,Electronic Technology,Aerospace & Defense,12.0,134.41
RLGY,Finance,Real Estate Development,-3.0,NA
REAL,Retail Trade,Internet Retail,6.0,1.85
O,Finance,Real Estate Investment Trusts,17.0,26.37
RDFN,Finance,Real Estate Development,-9.0,6.35
REGN,Health Technology,Biotechnology,-5.0,56.33
RF,Finance,Major Banks,12.0,20.36
RTP,Finance,Financial Conglomerates,-20.0,NA
REGI,Process Industries,Chemicals: Specialty,10.0,3.28
RSG,Industrial Services,Environmental Services,-10.0,34.97
RMD,Health Technology,Medical Specialties,11.0,33.71
QSR,Consumer Services,Restaurants,13.0,21.0
RH,Retail Trade,Specialty Stores,-2.0,14.2
RNG,Technology Services,Packaged Software,9.0,24.97
RAD,Retail Trade,Drugstore Chains,-20.0,1.21
RBLX,Technology Services,Packaged Software,-18.0,50.03
RKT,Finance,Finance/Rental/Leasing,-9.0,41.15
ROK,Producer Manufacturing,Electrical Products,-16.0,32.69
ROKU,Consumer Durables,Electronics/Appliances,1.0,48.3
ROOT,Finance,Insurance Brokers/Services,-1.0,NA
ROST,Retail Trade,Apparel/Footwear Retail,-12.0,42.57
RY,Finance,Major Banks,-13.0,149.28
RCL,Consumer Services,Hotels/Resorts/Cruise lines,-9.0,22.38
RES,Industrial Services,Oilfield Services/Equipment,1.0,1.24
SPGI,Commercial Services,Financial Publishing/Services,-8.0,95.48
CRM,Technology Services,Packaged Software,18.0,228.03
SBH,Retail Trade,Specialty Stores,8.0,2.33
SGMO,Health Technology,Biotechnology,11.0,1.69
SLB,Industrial Services,Oilfield Services/Equipment,-9.0,47.61
SE,Technology Services,Internet Software/Services,-16.0,143.96
SEB,Consumer Non-Durables,Food: Meat/Fish/Dairy,-13.0,4.41
STX,Electronic Technology,Computer Peripherals,-18.0,NA
SRE,Utilities,Gas Distributors,-16.0,43.37
NOW,Technology Services,Information Technology Services,-6.0,100.56
SHAK,Consumer Services,Restaurants,0.0,4.23
SHW,Process Industries,Industrial Specialties,3.0,72.8
SHOP,Retail Trade,Internet Retail,0.0,163.54
SBSW,Non-Energy Minerals,Precious Metals,15.0,NA
SPG,Finance,Real Estate Investment Trusts,-4.0,43.78
SIRI,Consumer Services,Broadcasting,-20.0,27.61
SKX,Consumer Non-Durables,Apparel/Footwear,20.0,7.59
SWKS,Electronic Technology,Semiconductors,-11.0,28.69
WORK,Technology Services,Packaged Software,-1.0,26.33
SLM,Finance,Finance/Rental/Leasing,-4.0,6.26
SM,Energy Minerals,Oil & Gas Production,-10.0,2.51
SMAR,Technology Services,Packaged Software,-12.0,8.14
SNAP,Technology Services,Internet Software/Services,12.0,99.59
SNOW,Technology Services,Packaged Software,17.0,72.3
IPOD,Finance,Financial Conglomerates,-20.0,NA
IPOF,Finance,Financial Conglomerates,-1.0,NA
SOFI,Finance,Finance/Rental/Leasing,-20.0,NA
SOGO,Technology Services,Internet Software/Services,19.0,NA
SEDG,Producer Manufacturing,Electrical Products,-11.0,12.62
SONY,Consumer Durables,Electronics/Appliances,17.0,NA
SO,Utilities,Electric Utilities,-17.0,67.53
SCCO,Non-Energy Minerals,Other Metals/Minerals,8.0,50.86
LUV,Transportation,Airlines,3.0,33.87
SWN,Energy Minerals,Oil & Gas Production,-13.0,3.68
SAVE,Transportation,Airlines,18.0,3.68
SPLK,Technology Services,Information Technology Services,13.0,20.06
SPOT,Technology Services,Internet Software/Services,18.0,48.03
SFM,Retail Trade,Food Retail,-2.0,3.39
SQ,Technology Services,Information Technology Services,-8.0,105.16
SSNC,Technology Services,Information Technology Services,-18.0,18.92
SRAC,Finance,Financial Conglomerates,-14.0,NA
SWK,Consumer Durables,Tools & Hardware,19.0,32.77
SVAC,Finance,Financial Conglomerates,0.0,NA
SBUX,Consumer Services,Restaurants,-8.0,132.49
STT,Finance,Regional Banks,-4.0,29.48
STLD,Non-Energy Minerals,Steel,-2.0,13.33
STLA,Consumer Durables,Motor Vehicles,7.0,64.15
SFIX,Retail Trade,Apparel/Footwear Retail,9.0,6.76
STNE,Technology Services,Packaged Software,18.0,19.79
SYK,Health Technology,Medical Specialties,20.0,96.33
SMFG,Finance,Major Banks,7.0,48.29
SUMO,Technology Services,Packaged Software,20.0,NA
SU,Energy Minerals,Integrated Oil,-5.0,38.21
NOVA,Distribution Services,Wholesale Distributors,-2.0,3.59
SPWR,Producer Manufacturing,Electrical Products,-16.0,4.49
RUN,Utilities,Alternative Power Generation,18.0,9.41
SSSS,Finance,Investment Managers,8.0,NA
SYF,Finance,Finance/Rental/Leasing,-12.0,28.28
SNPS,Technology Services,Packaged Software,-11.0,40.65
SYY,Distribution Services,Food Distributors,-8.0,40.61
TMUS,Communications,Wireless Telecommunications,-14.0,181.11
TROW,Finance,Investment Managers,18.0,43.69
TTWO,Consumer Durables,Recreational Products,-2.0,21.69
TSM,Electronic Technology,Semiconductors,12.0,574.32
TAK,Health Technology,Pharmaceuticals: Major,-2.0,54.19
TAL,Consumer Services,Other Consumer Services,-13.0,19.23
SKT,Finance,Real Estate Investment Trusts,-18.0,1.94
TPR,Retail Trade,Apparel/Footwear Retail,-14.0,12.06
TRGP,Energy Minerals,Oil Refining/Marketing,-5.0,10.76
TGT,Retail Trade,Specialty Stores,14.0,115.3
TTM,Consumer Durables,Motor Vehicles,6.0,17.13
FTI,Industrial Services,Oilfield Services/Equipment,4.0,4.43
TECK,Non-Energy Minerals,Other Metals/Minerals,10.0,12.38
TDOC,Health Services,Hospital/Nursing Management,5.0,24.33
TFX,Health Technology,Medical Specialties,-4.0,18.49
VIV,Communications,Major Telecommunications,8.0,15.31
TPX,Consumer Durables,Home Furnishings,2.0,7.64
TME,Technology Services,Internet Software/Services,13.0,27.11
TER,Electronic Technology,Electronic Production Equipment,-15.0,21.86
TSLA,Consumer Durables,Motor Vehicles,-8.0,595.03
TEVA,Health Technology,Pharmaceuticals: Generic,-14.0,11.91
TXN,Electronic Technology,Semiconductors,-14.0,175.7
AES,Utilities,Electric Utilities,12.0,17.14
CLX,Consumer Non-Durables,Household/Personal Care,7.0,21.66
DOW,Process Industries,Chemicals: Specialty,13.0,50.01
GEO,Finance,Real Estate Investment Trusts,-12.0,0.83
BARK,Finance,Financial Conglomerates,9.0,NA
SMG,Process Industries,Chemicals: Agricultural,5.0,10.78
TMO,Health Technology,Medical Specialties,-12.0,184.75
TBA,Finance,Financial Conglomerates,-7.0,NA
THBR,Finance,Financial Conglomerates,9.0,NA
TIMB,Communications,Wireless Telecommunications,13.0,NA
TJX,Retail Trade,Apparel/Footwear Retail,-19.0,78.57
TD,Finance,Major Banks,-9.0,130.83
TM,Consumer Durables,Motor Vehicles,7.0,250.76
TPGY,Finance,Financial Conglomerates,7.0,NA
PACE,Finance,Financial Conglomerates,15.0,NA
TPIC,Producer Manufacturing,Electrical Products,2.0,NA
TTD,Commercial Services,Advertising/Marketing Services,-5.0,28.62
TW,Technology Services,Internet Software/Services,-9.0,19.6
TRXC,Commercial Services,Miscellaneous Commercial Services,13.0,0.46
TRV,Finance,Multi-Line Insurance,-5.0,38.53
TCOM,Consumer Services,Other Consumer Services,-9.0,45.96
TRIP,Consumer Services,Other Consumer Services,12.0,5.56
TGI,Electronic Technology,Aerospace & Defense,20.0,NA
TFC,Finance,Regional Banks,13.0,76.23
TSP,Consumer Durables,Motor Vehicles,-11.0,NA
TWCT,Finance,Financial Conglomerates,-19.0,NA
TWLO,Technology Services,Packaged Software,16.0,59.24
TWTR,Technology Services,Internet Software/Services,16.0,48.55
TWO,Finance,Real Estate Investment Trusts,5.0,2.06
TSN,Consumer Non-Durables,Food: Meat/Fish/Dairy,-16.0,28.21
UBER,Technology Services,Packaged Software,-19.0,95.02
UBS,Finance,Major Banks,-19.0,57.48
PATH,Technology Services,Packaged Software,18.0,NA
ULTA,Retail Trade,Specialty Stores,19.0,18.44
UCTT,Electronic Technology,Semiconductors,-19.0,NA
UGP,Energy Minerals,Oil Refining/Marketing,-18.0,4.4
UAA,Consumer Non-Durables,Apparel/Footwear,-6.0,NA
UA,Consumer Non-Durables,Apparel/Footwear,-10.0,8.85
UNP,Transportation,Railroads,-19.0,147.88
UAL,Transportation,Airlines,3.0,18.03
UMC,Electronic Technology,Semiconductors,18.0,23.28
X,Non-Energy Minerals,Steel,10.0,7.21
UNH,Health Services,Managed Health Care,-16.0,376.68
UNIT,Finance,Real Estate Investment Trusts,1.0,2.53
U,Technology Services,Packaged Software,-16.0,28.58
UNM,Finance,Life/Health Insurance,9.0,6.16
TIGR,Finance,Investment Banks/Brokers,7.0,NA
UPS,Transportation,Air Freight/Couriers,-14.0,175.05
URBN,Retail Trade,Apparel/Footwear Retail,-17.0,3.79
USB,Finance,Major Banks,19.0,86.63
SLCA,Non-Energy Minerals,Other Metals/Minerals,10.0,0.81
VALE,Non-Energy Minerals,Steel,4.0,115.35
VLO,Energy Minerals,Oil Refining/Marketing,-2.0,33.49
VACQ,Finance,Financial Conglomerates,-7.0,NA
VGR,Consumer Non-Durables,Tobacco,11.0,2.22
VEEV,Technology Services,Packaged Software,3.0,46.47
VTR,Finance,Real Estate Investment Trusts,0.0,22.11
VER,Finance,Real Estate Investment Trusts,-19.0,11.21
VRSN,Technology Services,Internet Software/Services,-5.0,24.79
VRSK,Finance,Insurance Brokers/Services,18.0,28.08
VZ,Communications,Major Telecommunications,0.0,236.72
VRTX,Health Technology,Biotechnology,7.0,50.42
VFC,Consumer Non-Durables,Apparel/Footwear,15.0,31.9
VGAC,Finance,Financial Conglomerates,-8.0,NA
VIACA,Consumer Services,Broadcasting,-14.0,27.48
VTRS,Health Technology,Pharmaceuticals: Major,9.0,NA
VICI,Finance,Real Estate Development,-9.0,17.62
VIPS,Retail Trade,Internet Retail,-20.0,15.1
VIR,Health Technology,Biotechnology,-19.0,5.92
SPCE,Electronic Technology,Aerospace & Defense,17.0,8.78
V,Finance,Finance/Rental/Leasing,-6.0,515.06
VST,Utilities,Electric Utilities,0.0,8.86
VMW,Technology Services,Information Technology Services,0.0,67.26
VG,Communications,Specialty Telecommunications,-3.0,3.67
VIH,Finance,Financial Conglomerates,-6.0,NA
VRM,Retail Trade,Specialty Stores,8.0,6.16
WAB,Producer Manufacturing,Trucks/Construction/Farm Machinery,-13.0,15.23
WBA,Retail Trade,Drugstore Chains,-11.0,47.04
WMT,Retail Trade,Food Retail,-2.0,393.87
DIS,Consumer Services,Cable/Satellite TV,10.0,323.74
WCN,Industrial Services,Environmental Services,-11.0,31.83
WM,Industrial Services,Environmental Services,10.0,59.2
W,Retail Trade,Internet Retail,19.0,33.07
WB,Technology Services,Internet Software/Services,2.0,NA
WFC,Finance,Major Banks,-1.0,186.63
WELL,Finance,Real Estate Investment Trusts,-6.0,33.9
WEN,Consumer Services,Restaurants,-9.0,5.39
WDC,Electronic Technology,Computer Peripherals,-11.0,22.89
WU,Finance,Finance/Rental/Leasing,-17.0,10.12
WRK,Process Industries,Containers/Packaging,8.0,14.7
WEX,Technology Services,Data Processing Services,-16.0,9.03
WY,Finance,Real Estate Investment Trusts,17.0,25.87
WTM,Finance,Multi-Line Insurance,-2.0,NA
WMB,Industrial Services,Oil & Gas Pipelines,3.0,33.43
WING,Consumer Services,Restaurants,-9.0,4.48
WIT,Technology Services,Information Technology Services,-18.0,41.34
WIX,Technology Services,Information Technology Services,18.0,16.07
WDAY,Technology Services,Information Technology Services,-3.0,57.37
WKHS,Producer Manufacturing,Auto Parts: OEM,2.0,1.85
WWE,Consumer Services,Movies/Entertainment,-18.0,4.84
WYNN,Consumer Services,Casinos/Gaming,-8.0,14.45
XEL,Utilities,Electric Utilities,-20.0,37.17
XRX,Electronic Technology,Computer Peripherals,-19.0,4.68
XLNX,Electronic Technology,Semiconductors,12.0,31.54
XPEV,Consumer Durables,Motor Vehicles,-13.0,34.18
AUY,Non-Energy Minerals,Precious Metals,-20.0,NA
YETI,Producer Manufacturing,Miscellaneous Manufacturing,20.0,8.24
YPF,Energy Minerals,Integrated Oil,-13.0,NA
YUM,Consumer Services,Restaurants,-2.0,35.17
YUMC,Consumer Services,Restaurants,-8.0,29.05
YY,Technology Services,Internet Software/Services,2.0,NA
ZBRA,Electronic Technology,Computer Peripherals,-5.0,27.28
ZEN,Technology Services,Data Processing Services,9.0,16.73
Z,Technology Services,Information Technology Services,17.0,NA
ZBH,Health Technology,Medical Specialties,-14.0,32.84
ZION,Finance,Regional Banks,-15.0,8.84
ZTS,Health Technology,Pharmaceuticals: Generic,5.0,87.63
ZM,Technology Services,Packaged Software,-5.0,107.81
ZS,Technology Services,Packaged Software,13.0,28.96
ZTO,Transportation,Air Freight/Couriers,0.0,26.26
